aluno_id,Aluno,Sala,Unidade,prep_score,attendance_score,homework_score,interaction_score,engajamento,cluster
Estudante 13::Four Corners B1::Rio de Janeiro,Estudante 13,Four Corners B1,Rio de Janeiro,0.21428571428571427,0.7857142857142857,0.35714285714285715,0.7619047619047619,0.6035714285714285,3
Estudante 13::Four Corners B1::Tatuapé,Estudante 13,Four Corners B1,Tatuapé,0.5714285714285714,0.5,0.6785714285714286,0.6666666666666667,0.6321428571428571,2
Estudante 13::Four Corners B1::Unidade Virtual (aulas aos domingos),Estudante 13,Four Corners B1,Unidade Virtual (aulas aos domingos),0.7857142857142857,0.8571428571428571,0.7857142857142857,0.47619047619047616,0.8499999999999999,2
Estudante 13::Four Corners B1::Unidade Virtual (aulas aos sábados),Estudante 13,Four Corners B1,Unidade Virtual (aulas aos sábados),0.5714285714285714,0.7857142857142857,0.5357142857142857,0.8095238095238095,0.7535714285714284,2
Estudante 13::Four Corners B1::Vila Sônia (manhã),Estudante 13,Four Corners B1,Vila Sônia (manhã),0.35714285714285715,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.65,2
Estudante 13::Four Corners B1::Vila Sônia (tarde),Estudante 13,Four Corners B1,Vila Sônia (tarde),0.7142857142857143,0.7857142857142857,0.7142857142857143,0.8095238095238095,0.8321428571428571,0
Estudante 13::Four Corners B2::Unidade Virtual (aulas aos sábados),Estudante 13,Four Corners B2,Unidade Virtual (aulas aos sábados),0.6428571428571429,0.7857142857142857,0.6071428571428571,0.8095238095238095,0.7892857142857143,0
Estudante 13::Four Corners C1::Campinas,Estudante 13,Four Corners C1,Campinas,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.8749999999999999,0
Estudante 13::Four Corners C1::Capão Redondo,Estudante 13,Four Corners C1,Capão Redondo,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6666666666666667,0.8464285714285714,0
Estudante 13::Four Corners C1::Diadema,Estudante 13,Four Corners C1,Diadema,0.7142857142857143,0.9285714285714286,0.7142857142857143,0.9523809523809524,0.9178571428571428,0
Estudante 13::Four Corners C1::Jabaquara,Estudante 13,Four Corners C1,Jabaquara,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.42857142857142855,0.3464285714285714,1
Estudante 13::Four Corners C1::Rio de Janeiro,Estudante 13,Four Corners C1,Rio de Janeiro,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.6071428571428571,3
Estudante 13::Four Corners C1::Tatuapé,Estudante 13,Four Corners C1,Tatuapé,0.0,0.0,0.0,0.3333333333333333,0.049999999999999996,1
Estudante 13::Four Corners C1::Unidade Virtual (aulas aos domingos),Estudante 13,Four Corners C1,Unidade Virtual (aulas aos domingos),0.07142857142857142,0.14285714285714285,0.07142857142857142,0.42857142857142855,0.1642857142857143,1
Estudante 13::Four Corners C1::Unidade Virtual (aulas aos sábados),Estudante 13,Four Corners C1,Unidade Virtual (aulas aos sábados),0.35714285714285715,0.6428571428571429,0.35714285714285715,0.7142857142857143,0.5750000000000001,3
Estudante 13::Four Corners C1::Vila Sônia (manhã),Estudante 13,Four Corners C1,Vila Sônia (manhã),0.42857142857142855,0.7142857142857143,0.2857142857142857,0.7619047619047619,0.6214285714285713,3
Estudante 13::Four Corners C1::Vila Sônia (tarde),Estudante 13,Four Corners C1,Vila Sônia (tarde),0.8571428571428571,0.7142857142857143,0.7857142857142857,0.8095238095238095,0.857142857142857,0
